Age,WAR,G,PA,R,H,HR,RBI,SB,BB,SO,BA,OBP,SLG,OPS,OPS+,TB
24,5.8,96,418,63,104,21,53,24,47,108,0.291,0.386,0.531,0.917,155,190
26,4.8,91,403,51,103,13,39,30,39,69,0.286,0.355,0.461,0.816,131,166
21,4.7,93,413,58,99,8,34,11,60,56,0.283,0.392,0.420,0.812,126,147
27,4.7,95,410,61,127,9,45,17,20,58,0.334,0.368,0.505,0.874,145,192
25,4.5,96,411,57,99,17,66,8,34,80,0.270,0.336,0.471,0.807,122,173
29,4.3,96,420,65,111,31,70,1,63,72,0.318,0.426,0.633,1.059,193,221
23,4.2,97,454,89,103,28,64,15,79,129,0.279,0.410,0.575,0.984,171,212
26,4.0,91,416,66,95,14,60,15,54,103,0.266,0.361,0.465,0.826,126,166
25,3.9,90,368,41,96,8,39,12,18,73,0.281,0.328,0.433,0.761,115,148
23,3.8,90,407,58,91,13,36,9,40,64,0.259,0.356,0.399,0.755,115,140
24,3.8,93,395,62,105,22,74,13,32,98,0.294,0.354,0.532,0.887,148,190
22,3.7,94,411,61,99,28,59,2,53,78,0.279,0.372,0.555,0.927,154,197
23,3.7,92,412,61,89,20,66,7,76,130,0.266,0.405,0.497,0.902,146,166
30,3.7,94,403,49,88,11,51,10,51,60,0.254,0.345,0.421,0.766,114,146
31,3.6,97,422,68,99,14,59,7,62,94,0.283,0.400,0.477,0.878,141,167
34,3.5,88,364,46,89,20,61,2,35,90,0.285,0.379,0.542,0.921,159,169
26,3.4,97,409,50,107,6,37,13,50,48,0.303,0.385,0.425,0.810,130,150
27,3.4,92,400,45,92,11,43,6,39,82,0.261,0.332,0.428,0.759,115,151
26,3.3,94,409,64,84,21,59,11,56,67,0.245,0.355,0.493,0.848,135,169
32,3.3,95,416,64,99,25,58,2,40,99,0.267,0.339,0.534,0.873,138,198
35,3.2,89,336,54,76,17,40,1,40,79,0.259,0.354,0.488,0.842,132,143
31,3.2,88,406,65,98,22,58,6,60,93,0.293,0.403,0.549,0.953,162,184
28,3.1,86,386,52,90,21,46,2,30,85,0.257,0.324,0.483,0.807,117,169
31,3.1,89,379,59,93,11,45,19,37,82,0.286,0.380,0.458,0.838,140,149
25,3.1,93,398,54,87,13,45,10,47,91,0.252,0.347,0.478,0.825,125,165
32,3.0,75,335,57,83,25,45,7,23,83,0.271,0.328,0.575,0.904,146,176
22,3.0,97,384,45,88,11,43,3,25,70,0.253,0.313,0.394,0.707,102,137
26,3.0,91,275,37,75,6,36,5,18,49,0.301,0.354,0.478,0.832,131,119
31,3.0,90,402,59,88,21,64,1,37,107,0.246,0.316,0.487,0.803,117,174
29,3.0,91,402,48,119,4,35,8,24,16,0.330,0.369,0.460,0.829,136,166
26,3.0,69,275,34,71,6,32,4,32,43,0.301,0.385,0.436,0.822,127,103
